,0
0,exp_1_LNP_np.czi
1,exp_2_cellonly_np.czi
2,exp_3_LNP_VTN.czi
3,exp_4_cellonly_VTN.czi
4,exp_5_LNP_A2M.czi
5,exp_6_cellonly_A2M.czi
6,exp_7_LNP_CR.czi
7,exp_8_cellonly_CR.czi
8,exp_9_cellonly_np.czi
9,exp_10_LNP_np.czi
10,exp_11_LNP_VTN.czi
11,exp_12_LNP_A2M.czi
12,exp_13_LNP_CR.czi
13,exp_14_cellonly_np.czi
14,exp_15_LNP_np.czi
15,exp_16_LNP_VTN.czi
16,exp_17_LNP_A2M.czi
17,exp_18_LNP_CR.czi
18,exp_19_cellonlynostain_np.czi
19,exp_20_LNP_APOE.czi
20,exp_21_cellonly_APOE.czi
21,exp_22_LNP_APOE.czi
